sep = ;
duration, ns;size;type;message
549000;209;vector;char;
497300;209;vector;char reserve;
78600;209;deque;char;
138000;209;list;char;
2533992600;10000;vector;int;
1325954400;10000;vector;int reserve;
4345600;10000;deque;int;
11654400;10000;list;int;
1394654200;10000;vector;double;
1172847000;10000;vector;double reserve;
6144800;10000;deque;double;
6667300;10000;list;double;
9224825500;11242;vector;string;
9284968100;11242;vector;string reserve;
27879900;11242;deque;string;
23092800;11242;list;string;
